FID,CT_Tag_ID,Date_Ptd,Cultivar,SciName,CmmnName,DBH,Program,EventORAdd,Impervious,DBH1,DBH2,DBH3,DBH4,TotalHeigh,Width_NS,Width_EW,PercentMis,CrownCondi,TreeStruct,SpaceType1,CrownBase,Jurisdicti,SpaceTypeD,Cond_18,SpaceType,Condition,DDOE,PTG_Notes,Cond_12,Genus,Species,StockType,Class_Code,Mntc_Condn,Season,Nursery,Condit_13,POINT_X,POINT_Y,Cond_17,Cond_16,Cond_15,Cond_14,db_jdx,db_year,db_Season,db_removed,db_SpaceTy,db_Prog,db_StockT,db_ClassCo,db_Nursery,db_Genus,db_Species,db_mtc,db_pltdbh,isAlive,Death_Yr,Death_Age,Age,Cond_Agg
10,CT13221070,4/16/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.5,DDOE,640 Chesapeake st SE, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Front Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.99701677,38.8293357, , , , ,RESIDENTIAL,2015,Spring, ,Front Yard,DDOE,BB,155,Casey Tree Farm,Halesia,monticola, ,1.5,1,0,0,4,Left Card
11,CT13221072,4/21/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.7,DDOE,1724 taylor st nw,0%,0,0,0,0,9,7,8,21-30%,4,4, ,4,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.03952563,38.94033389, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Halesia,monticola, ,1.5,1,0,0,4,Good
12,CT13221074,4/21/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.6,PEPCO,3247 Patterson st NW,0%,0,0,0,0,8,7,7,11-20%,4,4, ,3,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.06580424,38.96800001, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,PEPCO,BB,805,Casey Tree Farm,Halesia,monticola, ,1.5,1,0,0,4,Good
13,CT13221075,4/11/15 0:00, ,Halesia monticola,"Silverbell, Mountain",1.5,CTP,Armed Forces Retirement Home - Spring 2015, ,0,0,0,0,0,0,0, , , ,Maintained land,0,FED MILITARY,Maintained Land,Dead, , , , , , , , , , , ,Casey Tree Farm, ,-77.01658663,38.93529099, , , , ,FED MILITARY,2015,Spring, ,Maintained Land,CTP,BB,119,Casey Tree Farm,Halesia,monticola, ,1.5,0,2018,3,3,Dead
14,CT13221086,11/3/15 0:00, ,Halesia monticola,"Silverbell, Mountain",2.5,DDOE,2430 South Dakota ave ne, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.96356896,38.92388694, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Halesia,monticola, ,2.5,1,0,0,4,Left Card
15,CT13223026,11/10/15 0:00,American Sentry,Tilia americana - American Sentry,"Linden, American American Sentry",2.5,DDOE,1311 Jackson St NE,0%,0,0,0,0,16,8,8,0%,4,5, ,4,RESIDENTIAL, ,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.9877946,38.92937831, , , , ,RESIDENTIAL,2015,Fall, , ,DDOE,BB,155,Casey Tree Farm,Tilia,americana, ,0,1,0,0,4,Good
16,CT13223034,3/31/15 0:00,American Sentry,Tilia americana - American Sentry,"Linden, American American Sentry",1.5,DDOE,2029 Hamlin st ne, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.97510703,38.92719431, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Tilia,americana, ,1.5,1,0,0,4,Left Card
17,CT13224056,11/25/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",2.5,DDOE,1004 w st nw,11-20%,0,0,0,0,11,7,8,21-30%,4,4, ,4,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.02632154,38.9190942, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,BB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
18,CT13224058,11/25/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",2.5,DDOE,785 fairmont st ne,1-10%,0,0,0,0,10,8,7,11-20%,4,4, ,4,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.0253987,38.9249994, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,BB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
19,CT13224059,11/25/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",0,DDOE,3315. 12th st SE RSH., ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.99036589,38.84230526, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,BB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
20,CT13224060,12/4/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",0,DDOE,3100 Connecticut ave NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.05684521,38.93041165, , , , ,RESIDENTIAL,2015,Fall, ,Maintained Land,DDOE,BB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
21,CT13224063,12/4/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",2.8,DDOE,7222 Blair Rd NW,0%,0,0,0,0,9,6,5,21-30%,3,4, ,4,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.02182907,38.97818401, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,BB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
22,CT13224065,12/4/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",0,PEPCO,3100 Connecticut ave NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.05659546,38.93014834, , , , ,RESIDENTIAL,2015,Fall, ,Maintained Land,PEPCO,BB,805,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
23,CT13224070,12/14/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",1.7,No Program,1135 16TH ST NE,0%,0,0,0,0,11,6,6,21-30%,3,4, ,5,RESIDENTIAL,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.98103962,38.90518765, , , , ,RESIDENTIAL,2015,Fall, ,Maintained Land,No Program,BB,120,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
24,CT13224084,11/6/15 0:00, ,Carpinus caroliniana,"Hornbeam, American",2.7,DDOE,729 Kennedy St NW,1-10%,0,0,0,0,11,7,7,1-10%,4,4, ,3,RESIDENTIAL, ,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.02342142,38.95643735, , , , ,RESIDENTIAL,2015,Fall, , ,DDOE,BB,155,Casey Tree Farm,Carpinus,caroliniana, ,0,1,0,0,4,Good
25,CT13224087,11/24/15 0:00, ,Carpinus caroliniana,"Hornbeam, American",0,DDOE,3816 26th st ne, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.97059227,38.93684636, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Carpinus,caroliniana, ,0,1,0,0,4,Good
26,CT13224088,12/1/15 0:00, ,Carpinus caroliniana,"Hornbeam, American",0,DDOE,6318 31st street nw RSH, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.05985578,38.97333874, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Carpinus,caroliniana, ,0,1,0,0,4,Good
27,CT13224090,11/24/15 0:00, ,Carpinus caroliniana,"Hornbeam, American",1,DDOE,1333 Lawrence st ne,0%,0,0,0,0,14,8,7,1-10%,5,5, ,3,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.98756659,38.93138937, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Carpinus,caroliniana, ,0,1,0,0,4,Good
28,CT13225056,10/30/15 0:00,Perkins Pink,Cladrastis lutea (kentukea) - Perkins Pink,"Yellowwood, American Perkins Pink",2.9,CTP,Office of Foreign Missions - Fall 2015,0%,0,0,0,0,10,9,8,1-10%,4,4, ,4,FED NON-MILITARY, ,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.06561321,38.94199973, , , , ,FED NON-MILITARY,2015,Fall, , ,CTP,BB,119,Casey Tree Farm,Cladrastis,lutea (kentukea), ,1.5,1,0,0,4,Good
29,CT13225069,11/18/15 0:00,Perkins Pink,Cladrastis lutea (kentukea) - Perkins Pink,"Yellowwood, American Perkins Pink",0,DDOE,30 Gallatin St NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Front Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-77.01017022,38.95229893, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,BB,155,Casey Tree Farm,Cladrastis,lutea (kentukea), ,0,1,0,0,4,Left Card
30,CT13224026,4/27/15 0:00,October Glory,Acer rubrum - October Glory,"Maple, Red October Glory",1.5,DDOE,3137 38th st NW, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-77.07377023,38.93148932, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,BB,155,Casey Tree Farm,Acer,rubrum, ,1.5,1,0,0,4,Left Card
31,CT13224037,10/23/15 0:00,October Glory,Acer rubrum - October Glory,"Maple, Red October Glory",2.6,PEPCO,6905 5th street NW,0%,0,0,0,0,16,9,9,1-10%,4,4, ,5,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01952295,38.97406639, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,PEPCO,BB,805,Casey Tree Farm,Acer,rubrum, ,0,1,0,0,4,Good
32,CT13216005,12/8/15 0:00, ,Magnolia virginiana,"Magnolia, Sweetbay",0,DDOE,1005 GIRARD ST NE,0%,1,1.1,0,0,7,6,6,1-10%,5,5, ,2,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.99208739,38.92635526, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,RB,155,Casey Tree Farm,Magnolia,virginiana, ,0,1,0,0,4,Good
33,CT13216032,10/19/15 0:00,Moonglow,Magnolia virginiana - Moonglow,"Magnolia, Sweetbay Moonglow",0,PEPCO,4600 Yuma nw 10/19/2015,0%,0.8,1.1,0,0,9,7,8,11-20%,4,4, ,0,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.09074737,38.94619528, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,PEPCO,RB,805,Casey Tree Farm,Magnolia,virginiana, ,0,1,0,0,4,Good
34,CT13216034,12/14/15 0:00,Moonglow,Magnolia virginiana - Moonglow,"Magnolia, Sweetbay Moonglow",1,No Program,16TH ST NE,0%,0,0,0,0,8,6,5,21-30%,3,4, ,2,RESIDENTIAL,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.98109397,38.90510984, , , , ,RESIDENTIAL,2015,Fall, ,Maintained Land,No Program,RB,120,Casey Tree Farm,Magnolia,virginiana, ,0,1,0,0,4,Good
35,CT13216043,10/27/15 0:00,Moonglow,Magnolia virginiana - Moonglow,"Magnolia, Sweetbay Moonglow",0.6,DDOE,4118 3rd st nw Washington dc,0%,0.8,1,0,0,7,5,6,31-40%,4,4, ,3,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01549339,38.94173594, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,RB,155,Casey Tree Farm,Magnolia,virginiana, ,0,1,0,0,4,Good
36,CT13216044,11/1/15 0:00,Moonglow,Magnolia virginiana - Moonglow,"Magnolia, Sweetbay Moonglow",0,PEPCO,2018 Monroe St NE, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL, ,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.97479454,38.93345883, , , , ,RESIDENTIAL,2015,Fall, , ,PEPCO,RB,805,Casey Tree Farm,Magnolia,virginiana, ,0,1,0,0,4,Left Card
37,CT13216048,11/25/15 0:00,Moonglow,Magnolia virginiana - Moonglow,"Magnolia, Sweetbay Moonglow",1.5,DDOE,624 quincy st NW,0%,0,0,0,0,7,6,5,21-30%,4,4, ,0,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.02127182,38.93759737, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,RB,155,Casey Tree Farm,Magnolia,virginiana, ,0,1,0,0,4,Good
38,CT13212083,4/28/15 0:00,Sun Valley,Acer rubrum - Sun Valley,"Maple, Red Sun Valley",2.7,DDOE,6401 2nd pl nw,0%,0,0,0,0,14,11,8,1-10%,4,5, ,6,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01476136,38.9676239, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Acer,rubrum, ,1.5,1,0,0,4,Good
39,CT13212095,5/20/15 0:00,Sun Valley,Acer rubrum - Sun Valley,"Maple, Red Sun Valley",1.25,DDOE,1354 maple view pl se,0%,0,0,0,0,8,6,6,21-30%,4,4, ,4,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.98788549,38.86170422, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Acer,rubrum, ,1.25,1,0,0,4,Good
40,CT13212100,5/13/15 0:00,Sun Valley,Acer rubrum - Sun Valley,"Maple, Red Sun Valley",1.25,DDOE,"411 Rittenhouse St NW Washington, DC, United Stat*", ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-77.01870068,38.96545558, , , , ,RESIDENTIAL,2015,Spring, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Acer,rubrum, ,1.25,1,0,0,4,Left Card
41,CT13208035,4/11/15 0:00, ,Liquidambar styraciflua,"Sweetgum, American",1.5,CTP,Armed Forces Retirement Home - Spring 2015, ,0,0,0,0,0,0,0, , , ,Maintained land,0,FED MILITARY,Maintained Land,Missing, , , , , , , , , , , ,Casey Tree Farm, ,-77.01187202,38.93851571, , , , ,FED MILITARY,2015,Spring, ,Maintained Land,CTP,RB,119,Casey Tree Farm,Liquidambar,styraciflua, ,1.5,0,2018,3,3,Missing
42,CT13208037,4/11/15 0:00, ,Liquidambar styraciflua,"Sweetgum, American",2,CTP,Armed Forces Retirement Home - Spring 2015, ,0,0,0,0,0,0,0, , , , ,0,FED MILITARY,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01173883,38.93879974, , , , ,FED MILITARY,2015,Spring, ,Maintained Land,CTP,RB,119,Casey Tree Farm,Liquidambar,styraciflua, ,2,1,0,0,4,Good
43,CT13208042,11/6/15 0:00, ,Liquidambar styraciflua,"Sweetgum, American",2.5,CTP,VA Medical Center,0%,0,0,0,0,10,7,8,31-40%,4,5, ,4,FED NON-MILITARY,Maintained Land,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01080165,38.93002172, , , , ,FED NON-MILITARY,2015,Fall, ,Maintained Land,CTP,RB,119,Casey Tree Farm,Liquidambar,styraciflua, ,2.5,1,0,0,4,Good
44,CT13209017,11/24/15 0:00, ,Nyssa sylvatica,Blackgum,0,DDOE,1014 Bryant st NE, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.99101902,38.92228469, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Nyssa,sylvatica, ,0,1,0,0,4,Left Card
45,CT13209043,11/10/15 0:00,Wildfire,Nyssa sylvatica - Wildfire,"Blackgum, Wildfire",0,DDOE,4833 Dexter terr nw, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-77.09375429,38.9254424, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Nyssa,sylvatica, ,0,1,0,0,4,Left Card
46,CT13210066,11/17/15 0:00, ,Pinus virginiana,"Pine, Virginia",0,DDOE,3350 highwood dr SE - replacement, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL, ,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.95771122,38.87156624, , , , ,RESIDENTIAL,2015,Fall, , ,DDOE,RB,155,Casey Tree Farm,Pinus,virginiana, ,0,1,0,0,4,Left Card
47,CT13207077,10/26/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",1.7,PEPCO,2537 36th st SE, ,1.5,1.3,0,0,10,6,6,21-30%,4,4, ,4,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.95560031,38.8586687, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,PEPCO,RB,805,Casey Tree Farm,Amelanchier,x grandiflora, ,1.5,1,0,0,4,Good
48,CT13207082,10/22/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",1.6,PEPCO,"134 d st se Washington, D.C.",1-10%,0,0,0,0,8,6,5,21-30%,4,4, ,6,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.00441143,38.885437, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,PEPCO,RB,805,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
49,CT13207083,10/20/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",0,DDOE,521 Randolph st, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.01968667,38.93921702, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
50,CT13207085,10/14/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",0,DDOE,644 Emmerson st NE, ,0,0,0,0,0,0,0, , , , ,0,RESIDENTIAL,Back Yard,Left Card, , , , , , , , , , , ,Casey Tree Farm, ,-76.99664962,38.95031598, , , , ,RESIDENTIAL,2015,Fall, ,Back Yard,DDOE,RB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Left Card
51,CT13207086,10/29/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",1,PEPCO,5460 27th st nw,0%,0,0,0,0,8,5,5,71-80%,3,3, ,6,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-77.05638671,38.96276286, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,PEPCO,RB,805,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
52,CT13207090,11/5/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",2,DDOE,1118 Florida Ave NE,0%,0,0,0,0,12,9,9,31-40%,4,4, ,4,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.9910349,38.9032568, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,RB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
53,CT13207091,11/12/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",1.1,DDOE,627 Lexington pl NE,0%,0,0,0,0,9,5,5,41-50%,3,3, ,3,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.9974521,38.8953606, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,RB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
54,CT13207096,11/24/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",0,DDOE,5000 6th pl NE,0%,0,0,0,0,9,5,4,11-20%,4,4, ,4,RESIDENTIAL,Front Yard,Good, , , , , , , , , , , ,Casey Tree Farm, ,-76.99812172,38.95014492, , , , ,RESIDENTIAL,2015,Fall, ,Front Yard,DDOE,RB,155,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Good
55,CT13207099,11/12/15 0:00,Autumn Brilliance,Amelanchier x grandiflora - Autumn Brilliance,"Serviceberry, Apple Autumn Brilliance",2,PEPCO,1425 C St NE,0%,0,0,0,0,8,4,4,31-40%,3,5,Front yard,0,RESIDENTIAL, ,Poor, , , , , , , , , , , ,Casey Tree Farm, ,-76.9849191,38.89349513, , , , ,RESIDENTIAL,2015,Fall, , ,PEPCO,RB,805,Casey Tree Farm,Amelanchier,x grandiflora, ,0,1,0,0,4,Poor
